product_name,category,avg_rating,avg_price,review_count,text
Butterfly Cresta 4 Jars 750 W Food Processor(Turquoise Green),Butterfly Cresta,3.857142857142857,7649.0,14,Worth the money Perfect product! Worth every penny Mind-blowing purchase Pretty good Worth every penny Worthless Nice Terrific purchase Wonderful
Butterfly Magic Fruit & Vegetable Cleaner 250 W Food Processor(White),Butterfly Magic,4.4,2949.0,10,Best in the market! Just wow! Need to check Wonderful Pretty good Awesome Super! Worth every penny Must buy! Not good
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Black)",Butterfly Rapid,3.4983333333333335,2999.0,600,Brilliant Classy product Best in the market! Great product Terrific purchase Awesome Just wow! Just wow! Wonderful Great product
Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Butterfly Rapid,4.168067226890757,849.0,119,Must buy! Classy product Worth every penny Hated it! Must buy! Great product Good Unsatisfactory Wonderful Very Good
"Butterfly Rapid Plus 750 W Mixer Grinder (5 Jars, Ink Blue)",Butterfly Rapid,4.109183673469388,3399.0,980,Perfect product! Delightful Good quality product Simply awesome Worst experience ever! Wonderful Classy product Terrific Worth every penny Just wow!
Butterfly Rapid Plus Wet Grinder with Coconut Scraper (Blue)??(Ink Blue),Butterfly Rapid,3.964679911699779,4199.0,453,Does the job Simply awesome Worth the money Terrific Terrific purchase Simply awesome Fabulous! Waste of money! Good quality product Very Good
Butterfly Rapid Wet Grinder??(Grey),Butterfly Rapid,3.716666666666667,4899.0,60,Best in the market! Best in the market! Nice product Just wow! Great product Utterly Disappointed Just wow! Brilliant Very Good Useless product
Butterfly Rhino 2 Ltr Wet Grinder??(Cherry Red),Butterfly Rhino,3.926470588235294,4396.0,136,Delightful Terrific purchase Just wow! Wonderful Mind-blowing purchase Good Classy product Nice grind to your hearts content Worth every penny
Butterfly Rhino Plus Wet Grinder??(Grey),Butterfly Rhino,3.98974358974359,5299.0,390,Brilliant Don't waste your money Super! Simply awesome Perfect product! Happy with product Nice product Simply Awesome Nice product Terrific purchase
"CAPIO ART GEOMETRIC multipurpose design Wood Key Holder(8 Hooks, Brown)",CAPIO ART,4.053333333333334,169.0,300,Just okay Highly recommended Pretty good Just wow! Simply awesome Best in the market! Worth every penny Pretty good Wonderful Terrific purchase
CEAT Hitman Full Size Double Blade Poplar Cricket Bat - Advance Play Poplar Will,CEAT Hitman,3.99,329.0,200,Worth every penny Wonderful Perfect product! Good quality product Classy product Wonderful Classy product Nice Best in the market! Excellent
"CELLBELL Aries C160 High Back Mesh Office Adjustable Arm Chair(Black, DIY(Do-It-",CELLBELL Aries,4.52,7599.0,25,Good quality product Worth the money Perfect product! Perfect product! Wonderful Delightful Brilliant Perfect product! Really Nice Awesome
CGul Cloth Stand & Cupboard and Almirah Carbon Steel Collapsible Wardrobe Carbon,CGul Cloth,3.0833333333333335,1119.0,12,Good quality product Useless product Super! Best in the market! Highly recommended Great product Mind-blowing purchase Don't waste your money Did not meet expectations Hated it!
"CHARDI KALA Set Top Box / DTH Stand - Wall Mount Stand / Wifi Router Stand, Colo",CHARDI KALA,2.7,249.0,10,Fair Terrible product Terrific purchase Horrible Great product Utterly Disappointed Delightful Did not meet expectations Utterly Disappointed Fabulous!
"CHETANYA LOOMTEX Green Polypropylene, River Grass Carpet(40 cm,  X 60 cm, Rectan",CHETANYA LOOMTEX,3.6944444444444446,275.0,36,Hated it! Worst experience ever! Wonderful Super! Bad quality Terrible product Awesome Terrible product Really Nice Does the job
"CLOTHOLOGY 144 TC Cotton Double Printed Flat Bedsheet(Pack of 1, Green)",CLOTHOLOGY,3.9647577092511015,329.0,1135,Classy product Wonderful Just wow! Worth the money Super! Fabulous! Terrific Nice Very Good Highly recommended
"CLOTHOLOGY 144 TC Cotton Double Printed Flat Bedsheet(Pack of 1, White, Yellow)",CLOTHOLOGY,3.8440366972477062,329.0,109,Classy product Wonderful Just wow! Worth the money Super! Fabulous! Terrific Nice Very Good Highly recommended
"CLOTHSIDE 104 TC Cotton Double Jaipuri Prints Flat Bedsheet(Pack of 1, Blue)",CLOTHSIDE,3.38,339.0,100,Good quality product Very Good Mind-blowing purchase Does the job Good quality product Pretty good Very poor Highly recommended Really Nice Wonderful
"CMerchants BOOK SHELF-5RACK Metal Open Book Shelf(Finish Color - BLUE, DIY(Do-It",CMerchants BOOK,4.025806451612903,699.0,310,Terrific Fabulous! Terrific purchase Terrific purchase Really Nice Wonderful Terrific Awesome Awesome Fabulous!
