product_name,category,review_count,avg_rating,avg_price,cnt_n,rat_n,pop_score
"Cosito 144 TC Cotton Double Floral Flat Bedsheet(Pack of 1, Multicolor)",Cosito,100,3.75,339.0,0.010564898663216905,0.6323529411764706,0.2593
Inalsa Verve 800W Food Processor with 100% Pure Copper Motor| 2 Multipurpose Jar,Inalsa Verve,24,3.7916666666666665,6495.0,0.002371711944803795,0.6446078431372548,0.2593
Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Bal,Magic Balloons,100,3.75,310.0,0.010564898663216905,0.6323529411764706,0.2593
K A Enterprises Solid metallic finish balloons for birthday / anniversary party ,Enterprises,64,3.765625,173.0,0.0066839154808106946,0.6369485294117647,0.2588
Rixen Cricket Net 20x10 Feet Cricket Net(Blue),Rixen Cricket,80,3.75,349.0,0.008408796895213455,0.6323529411764706,0.258
"Gojeeva Wooden Hanging Lamp suitable for Living Room,Bedroom,Hallway(pack of 2) ",Gojeeva Wooden,89,3.741573033707865,599.0,0.009379042690815007,0.6298744216787837,0.2576
"Woodbuzz Engineered Wood Study Table(Free Standing, Finish Color - Frosty White ",Woodbuzz Engineered,100,3.73,3307.0,0.010564898663216905,0.6264705882352941,0.2569
"Habitat Green Plastic Area Rug(45 cm,  X 120 cm, Rectangle)",Habitat Green,166,3.6927710843373496,253.0,0.017680034497628287,0.6155209071580439,0.2568
Hiru Party Light - 50W RGB LED Brick Light Remote IP65 LED Flood Light Flood Lig,Hiru Party,197,3.6751269035532994,230.0,0.021021992238033634,0.6103314422215587,0.2567
GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel ,GaxQuly Multipurpose,13,3.769230769230769,379.0,0.0011858559724018975,0.6380090497737556,0.2559
Inalsa Fiesta Lx 650 W Food Processor(White),Inalsa Fiesta,357,3.574229691876751,5039.0,0.038270806382061234,0.580655791728456,0.2552
"MAGICAL Floral Single Mink Blanket for  Heavy Winter(Microfiber, Brown)",MAGICAL Floral,200,3.64,499.0,0.021345407503234153,0.5999999999999999,0.2528
Butterfly Rapid Wet Grinder??(Grey),Butterfly Rapid,60,3.716666666666667,4899.0,0.006252695127210005,0.6225490196078431,0.2528
Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pr,Midea Free,19,3.736842105263158,18990.0,0.0018326865028029326,0.6284829721362228,0.2525
Inalsa fiesta 650 W Food Processor(White),Inalsa fiesta,100,3.69,5390.0,0.010564898663216905,0.614705882352941,0.2522
Green Home Reusable Latex Hand Gloves for Kitchen Black Wet and Dry Glove(Free S,Green Home,100,3.68,158.0,0.010564898663216905,0.611764705882353,0.251
